interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,market,location_short_name,location_type,lmp
2022-01-01T04:45:00-05:00,2022-01-01 09:45:00+00:00,2022-01-01T04:50:00-05:00,2022-01-01 09:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.675262
2022-01-01T04:50:00-05:00,2022-01-01 09:50:00+00:00,2022-01-01T04:55:00-05:00,2022-01-01 09:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.427064
2022-01-01T04:55:00-05:00,2022-01-01 09:55:00+00:00,2022-01-01T05:00:00-05:00,2022-01-01 10:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.886605
2022-01-01T05:00:00-05:00,2022-01-01 10:00:00+00:00,2022-01-01T05:05:00-05:00,2022-01-01 10:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.013822
2022-01-01T05:05:00-05:00,2022-01-01 10:05:00+00:00,2022-01-01T05:10:00-05:00,2022-01-01 10:10:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.24276
2022-01-01T05:10:00-05:00,2022-01-01 10:10:00+00:00,2022-01-01T05:15:00-05:00,2022-01-01 10:15:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.090966
2022-01-01T05:15:00-05:00,2022-01-01 10:15:00+00:00,2022-01-01T05:20:00-05:00,2022-01-01 10:20:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.018615
2022-01-01T05:20:00-05:00,2022-01-01 10:20:00+00:00,2022-01-01T05:25:00-05:00,2022-01-01 10:25:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.018418
2022-01-01T05:25:00-05:00,2022-01-01 10:25:00+00:00,2022-01-01T05:30:00-05:00,2022-01-01 10:30:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.06119
2022-01-01T05:30:00-05:00,2022-01-01 10:30:00+00:00,2022-01-01T05:35:00-05:00,2022-01-01 10:35:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.025146
2022-01-01T05:35:00-05:00,2022-01-01 10:35:00+00:00,2022-01-01T05:40:00-05:00,2022-01-01 10:40:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.008547
2022-01-01T05:40:00-05:00,2022-01-01 10:40:00+00:00,2022-01-01T05:45:00-05:00,2022-01-01 10:45:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.910945
2022-01-01T05:45:00-05:00,2022-01-01 10:45:00+00:00,2022-01-01T05:50:00-05:00,2022-01-01 10:50:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.043988
2022-01-01T05:50:00-05:00,2022-01-01 10:50:00+00:00,2022-01-01T05:55:00-05:00,2022-01-01 10:55:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.026915
2022-01-01T05:55:00-05:00,2022-01-01 10:55:00+00:00,2022-01-01T06:00:00-05:00,2022-01-01 11:00:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,16.824892
2022-01-01T06:00:00-05:00,2022-01-01 11:00:00+00:00,2022-01-01T06:05:00-05:00,2022-01-01 11:05:00+00:00,AECO,REAL_TIME_5_MIN,AECO,ZONE,17.182049
